COLOR,SYNONYM
AGED BRONZE,
ALMOND,
AMARANTH,
AMBER,
AMETHYST,
ANTHRACITE,
ANTIQUE BRASS,
ANTIQUE STEEL,
APRICOT,
AQUAMARINE,
ARCTIC STAINLESS,
ARCTIC WHITE,
ARTIC STAINLESS,
AZURE,
BEIGE,
BISCUIT,
BISQUE,
BLACK FOREST,
BLACK MATTE,MATTE BLACK
BLACK,
BLUE,
BONE,
BRIGHT CHROME,
BRILLIANCE BRUSHED NICKEL,
BRILLIANCE POLISHED BRASS,
BRILLIANCE POLISHED NICKEL,
BRILLIANCE STAINLESS STEEL,
BRILLIANT SATIN,
BRONZE,
BROWN,
BRUSHED CHROME,
BRUSHED GOLD,
BRUSHED NICKEL,
BRUSHED SATIN NICKEL,
BRUSHED SATIN,
BRUSHED STAINLESS STEEL,
BUFFED SATIN,
BURGUNDY,
BYZANTIUM,
CAFE BROWN,
CAMO,
CARMINE,
CASHMERE,
CERAMIC WHITE,
CERISE,
CERULEAN,
CHAMPAGNE BRONZE,
CHAMPAGNE,
CHARTREUSE,
CHINA WHITE,
CHOCOLATE,
CHROME VANADIUM,
CHROME,
CINDER,
CLASSIC BRONZE,
CLASSIC STAINLESS,
CLASSIC WHITE,
CLEAR ACRYLIC,
CLEAR AMBER,
CLEAR GREEN,
CLEAR OPAL,
CLEAR,
CLOUDY WHITE,
COBALT PLATED,
COBALT,
COFFEE,
CONCRETE GRAY,
CORAL,
COTTON WHITE,COTTON
CRIMSON,
CYAN,
DARK BLUE,
DARK BRONZE,
DARK BROWN,
DARK GRAY,DARK GREY
DEEP BLUE,
DESERT,
DISTRESSED WALNUT,
DUNE,
DURA-COPPER,
DUSK GRAY,
ELITE SATIN,
EMERALD,
ENGLISH BRONZE,
ENGLISH GOLD,
ESPRESSO,
FLAT BLACK,
FLUORESCENT GREEN,
FLUORESCENT ORANGE,
FLUORESCENT RED,
FLUORESCENT YELLOW,
FLUORESCENT,
FRENCH BRASS,
FROST,
GLOW,
GOLD,
GOLDEN YELLOW,
GRAY,GREY
GREEN,
GREENISH GRAY,
HARLEQUIN,
HIGH VISIBILITY YELLOW,
ICE GREY,ICE GRAY
ICE,
INDIGO,
ITALIAN BRASS,
IVORY,
JADE,
KHAKI,
LAVENDER,
LEMON,
LIGHT AMBER,
LIGHT BLUE,
LIGHT GRAY,LIGHT GREY
LIGHT MACHINE GRAY,
LIGHT YELLOW,
LILAC,
LIME,
LUSTER,
LUSTROUS HIGHLIGHTED SATIN,
LUSTROUS SATIN,LUSTER/SATIN
LUSTROUS STEEL,
LUXE GOLD,
LUXE NICKEL,
MAGENTA,
MAROON,
MATTE BROWN,
MATTE STAINLESS STEEL,
MATTE WHITE,WHITE/MATTE|WHITE MATTE
MATTE,
MAUVE,
MEDITERRANEAN BRONZE,
MEDIUM BLUE,
MEDIUM GRAY,
METALLIC GRAY,
METALLIC,
MILKY CLEAR,MILKY
MINI GRAY,
MOCHA BRONZE,
MOCHA,
MODERNE BRUSHED GOLD,
MONOCHROMATIC STAINLESS STEEL,
MORNING FOG,
NATURAL BRASS/CHROME,
NATURAL MAPLE,
NATURAL POLISHED NICKEL,
NATURAL,
NAVY,
NERO,
OCHRE,
OFF-WHITE,OFF WHITE
OIL RUBBED BRONZE,OIL-RUBBED BRONZE
OLD IRON,
OLD WORLD BRONZE,
OLDE BRONZE,
OLIVE,
OPAL GREEN,
OPAQUE WHITE,
ORANGE,
ORCHID,
OXFORD MAPLE,
PALE AMBER,
PALE YELLOW,
PEACH,
PEAR,
PERIWINKLE,
PINK,
PLAIN,
PLATINUM VINYL,
PLUM,
POLAR WHITE,
POLISHED BRASS,
POLISHED CHROME,
POLISHED GOLD,
POLISHED NICKEL BRONZE,
POLISHED NICKEL CHROMIUM,
POLISHED NICKEL,
POLISHED SATIN,
POLISHED STAINLESS,
POLISHED ULTRA BRIGHT,
PUCE,
PURPLE,
RADIANT SATIN,
RASPBERRY,
RED,
REFINED BRUSHED,
ROSE,
ROUGH BRASS,
ROUGH BRONZE,
RUBBED BRONZE,
RUBY,
SALMON,
SANGRIA,
SAPPHIRE,
SATIN ANODIZED ALUMINUM,
SATIN BRASS,
SATIN CHROME,
SATIN GOLD,
SATIN NICKEL,
SATIN PEARL,
SATIN POLISHED,
SATIN STAINLESS STEEL,
SATIN WHITE,
SATIN,
SATIN/WHITE,
SCARLET,
SEA SALT,
SIENNA BRONZE,
SILVER,
SLATE,
SLIGHT GREEN,
SOFT DOVE GRAY,
SOLID BLUE,
STANDARD TAN,
STARLIGHT CHROME,
STEEL OPTIK,
TAN,
TAUPE,
TEAL,
TEXTURED ARCHITECTURAL BRONZE,
TEXTURED WHITE,
TRANSLUCENT DUSK,
TRANSLUCENT WHITE,
TRANSLUCENT YELLOW,
TRANSPARENT,
TRUFFLE,
TURQUOISE,
TUSCAN BRASS,
TUSCAN BRONZE,
ULTRAMARINE,
ULTRAVIOLET BLACK,UV BLACK|ULTRA VIOLET BLACK
UNLACQUERED BRASS,
VENITIAN BRONZE,VENETIAN BRONZE
VENITIAN COPPER,VENETIAN COPPER
VIBRANT BRUSHED BRONZE,
VIBRANT BRUSHED MODERNE BRASS,
VIBRANT BRUSHED NICKEL,
VIBRANT FRENCH GOLD,
VIBRANT POLISHED NICKEL,
VIBRANT STAINLESS,
VIBRANT TITANIUM,
VINTAGE BRONZE,
VIOLET,
VIRIDIAN,
WATERBORNE GRAY,WATERBORNE GRAY ENAMEL
WESTERN GOLD,
WHITE ALPIN,
WHITE GLOSS,
WHITE SEMI-GLOSS,
WHITE SHELL,SHELL WHITE
WHITE,
WHITE/HARD GLOSS,
WHITE/HIGH-GLOSS,WHITE/HIGH GLOSS
YELLOW TO LIGHT AMBER,
YELLOW ZINC,
YELLOW,
