CONNECTION,ABBRS
Compression,COMP
Concrete to Cast Iron,CONCXCI
Concrete to Cast Iron/Plastic,CONCXCI/PVC
COPPER,COP
COPPER TUBE SIZING,CTS
FEMALE,FEM
Female Threaded,FIP
Female Threaded,FIP
FLANGED,FLG
Flare,FLR
Gasketed,G
GROOVED,GRVD|GRV
HEXAGONAL,HEX
HUB,H
INLET,IN
IRON PIPE SIZE,IPS
JOINT,JNT
Male Iron Pipe,MIP|MIPT
MECHANICAL JOINT,MJ
METER,MTR
Meter Swivel Nut,MSN
NO HUB,NH
OUTLET,OTLT
PACK JOINT,PJ
PLAIN END,PE
PRESS,PRS
PUSH TO CONNECT,PTC
SOCKET WELD,SW
SOLDERED,SLDR
Solid,SOL
SOLVENT,SOLV
SPIGOT,spg|SPGT|S|SP
SWEAT,SWT
SWIVEL,SWV
THREADED,THRD|THR
