FLOW,ABBRS
CUBIC FEET PER MINUTE,CFM|CUBIC FEET/MINUTE
GALLONS PER MINUTE,GPM|GAL/MIN|GALLONS/MIN|GAL/M|GALLONS/M|GAL PER MIN|GALLONS PER MIN|GAL PER M|GALLONS PER M
GALLONS PER FLUSH,GPF|GAL/FLUSH|GALLONS/FLUSH|GAL/F|GALLONS/F|GAL PER FLUSH|GALLONS PER FLUSH|GAL PER F|GALLONS PER F
GALLONS PER HOUR,GPH|GAL/HOUR|GALLONS/H|GAL/HOUR|GALLONS/H|GAL PER HOUR|GALLONS PER H|GAL PER HOUR|GALLONS PER H|USGPH
LITERS PER MINUTE,LPM|LIT/MIN|LITERS/MIN|LIT/M|LITERS/M|LIT PER MIN|LITERS PER MIN|LIT PER M|LITERS PER M
LITERS PER FLUSH,LPF|LIT/FLUSH|LITERS/FLUSH|LIT/F|LITERS/F|LIT PER FLUSH|LITERS PER FLUSH|LIT PER F|LITERS PER F
LITERS PER HOUR,LPH|LIT/HOUR|LITERS/H|LIT/HOUR|LITERS/H|LIT PER HOUR|LITERS PER H|LIT PER HOUR|LITERS PER H
GALLONS,G|GAL|GALLON
LITERS,L|LIT|LITER
SECOND,SEC
MINUTE,MIN
CUBIC FEET,FT3|CUBIC FT|CUB FT|CUFT|CU FT
