INFO,SYNONYMS
AIR FLOW RATING,AIRFLOW RATE|AIR FLOW RATE
ALARM CURRENT,
ALARM SENSITIVITY,
ALLOWABLE PRESSURE,
ALLOWABLE TEST/BACK PRESSURE,
ALTITUDE,
AMBIENT TEMPERATURE RATING,
AMPERAGE,
APCOM STYLE,
APPLICABLE STANDARD,
APPLICATION TEMPERATURE,
APPROXIMATE SHIPPING WEIGHT,
APPROXIMATE WEIGHT,
ARRESTANCE,
AUTO POWER OFF,
AUTO-IGNITION TEMPERATURE,
AUTO-OFF TIME,
AUXILIARY CONTACT RATING,
BAR CROSS SECTION,
BASE SPREAD,
BEAM LOAD RATING,
BEATS PER MINUTE,
BODY PATTERN,
BOILING POINT,
BONDING TEMPERATURE,
BONDING TIME,
BREAK STRENGTH,
BROOKFIELD VISCOSITY,
BTR,
BTU PER HOUR,
BTU RATING,
BULB TEMPERATURE RATING,
BULK DENSITY,
BURNING CHARACTER,
BURNING CHARACTER FLAME SPREAD,BURNING CHARACTER MAXIMUM FLAME SPREAD
BURST PRESSURE RATING,
BURST TEST PRESSURE RATING,
CABLE CONNECTION,
CABLE TAPPING,
CALROD HEATER POWER RATING,
CARTON WEIGHT,
CAS REGISTRY NUMBER,
CGA INLET,
CHARGE TIME,
CHEMICAL COMPOSITION,
CIRCUIT CONFIGURATION,
COEFFICIENT OF PERFORMANCE,
COLD RESISTANCE,
COLOR RENDERING INDEX,
COLOR TEMPERATURE,COLOR TEMPERATURE IN KELVIN
COLUMN LOAD RATING,
COMFORT HEIGHT[T],
COMPLIANT SPECIFICATION,
COMPOSITION,
COMPRESSION STRENGTH,COMPRESSIVE STRENGTH
CONDENSATION POINT,
CONFIGURATION,
CONFIGURATION NEMA,
CONSTRUCTION STANDARD,
CONTACT CONFIGURATION,
CONTACT CURRENT RATING,
CONTACT RATING,
CONTROL MECHANISM,
CONTROL MODE,
CONTROL TEMPERATURE RATING,
COOLING COEFFICIENT,
COVERAGE,
CRITICAL PRESSURE RATING,
CRITICAL TEMPERATURE RATING,
CROSSBORE,
CURRENT RATING,
CUTOUT CORNER RADIUS,
CUTTING HARDNESS,
CYCLES PER HOUR HEATING/COOLING,
DECIBEL LEVEL,
DEFLECTION,
DEFLECTION TEMPERATURE RATING,
DEGREE OF PROTECTION,
DEGREE OF TILT,
DEGREE OF TURN,
DELIVERY RATE,
DENSITY,
DESIGN LOAD,
DEVICE SPECIFICATION,
DIELECTRIC STRENGTH,
DIFFERENTIAL PRESSURE RATING,
DIFFERENTIAL TEMPERATURE,DIFFERENTIAL TEMPERATURE RATING
DIRECT TENSION ADHESION,
DISCHARGE FLOW RATE,
DISCHARGE HEAD,
DISCHARGE RATE,
DISPLAY TEMPERATURE,DISPLAY TEMPERATURE RATING
DRILLING MODE,
DRY TIME,
EDGEBORE,
EFFICIENCY,
EFFICIENCY STANDARD,
ELECTRICAL CONNECTION DETAILS,
ELECTRICAL INPUT SUPPLY RATING,
ELECTRICAL RATING,
ELECTRICAL RESISTIVITY,
ELECTRICAL SUPPLY RATING,
ELEMENT CONNECTION,
ELEMENT POWER RATING,
ELEMENT WATTAGE,
ELONGATION,
EMISSIVITY,
END CONNECTION,
ENERGY CONSUMPTION,
ENERGY EFFICIENCY RATIO,
ENERGY EFFICIENT RATING,
EVAPORATION RATE,
EVAPORATION RATING,
EYE WIRE,
FACTORY PRE-SET PRESSURE RATING,
FAULT CURRENT RATING,
FIELD OF VIEW,
FIGURE INTERVAL,
FINAL RECOVERY VACUUM,
FINS PER INCH,
FIRE RATING,
FITS SOLID HEX,
FIXED TIME DELAY,
