MANUFACTURER,SYNONYMS
101 PIPE & CASING INC,101P
3-D WELDING & IND SUPPLY INC,3DWELD|3DWE|3D WELDING IND SUPPLY INC
3M BUILDING AND CONSTRUCTION,3MAU
3M PURIFICATION INC,3M_PURIF|CUNO
4-STAR HOSE & SUPPLY INC,FOUS|4STAR
A O SMITH WATER PRODUCT CO,AO SMITH|AO_TANKL|AO SMT|A O SMITH|AO SMITH|A O SMITH|AOTANKLS|AOSMITH
A WALDREP CO INC,WALC|WALDREP
A Y MCDONALD MFG,AY_MACDO|AYMCD
A-1 MACHINE INC,A1MACH|A1MA
A-1 TOOL CO LLC,A1TO|GLOBAL
AB & I,AB&I
AB&A,
ABILENE LUMBER INC,ABILLUMB|ABIL
ABMC GAS SERVICES INC,ABMCGAS|ABMG
AC GUARD INC,ACGU|ACGUARD
ACCOR TECHNOLOGY INC,ACCOR|ACCT1
ACCUCAST LTD,ACCUCAST|ACCI1
ACCUMETRIC LLC,ACCB|ACCUMET
ACCUTOOLS,
ACE CHEMICAL,
ACO POLYMER PROD,ACO POLYMER PROD|ACO_POLY|ACO
ACORN ENGINEERING CO,ACORN STAINLESS|ACORN|ACRN STNLS|ACORN SAFETY|ACRN SFTY
ACT INC DEMAND SYSTEMS,ACTD|ACT D MAND SYSTEMS
ACTION BOLT SUPPLY INC,ACTION BOLT|ABSI|HODELL
ACUDOR PROD INC,ACUD
ADOBEAIR INC,ADOBEAIR|ADOI
ADS,ADVANCED|ADVDRAIN
ADVANCE E & I SYSTEMS INC,ADVE|AEISYS
ADVANCED AQUADUCK SYSTEMS,AQUADUCK
ADVANCED DISTRIBUTOR PROD,ADP|ADVD2|ADVDIST
ADVANCED DRAINAGE SYSTEMS INC,
ADVANCED GLOVES,ADVG2|ADVGLOVE
ADVANCED MODERN TECH CORP,AMTC|ADVANCED MODERN TECHNOLOGY
ADVANCED TABCO,ADVANCEDTAB CO|ADVTAB|ADVANCEDTAB|ADVTABCO|ADVANCEDTABCO|ADVANCE TABCO
AEROSOL GAS,AERSLGS
AFEEL CORP,HUNTINGT|HUNTINGTONBRS|HUNT_BRA
AFSCO,AIR FILTER SUPPLY
AFX INC,AFX
AGA MARVEL,
AIR GAP INTL INC,AIRGAP
AIR KING AMERICA INC,AIRKING|AIR_KING
AIR PROD AND CONTROLS INC,APOLLO|AIRP6
AIR SCRUBBER BY ACTIVTEK,AIR SCRUBBER|ASCB
AIR SPECIALTIES EXPRESS,AIRETECH
AIRE TECH INC,
AIREX MFG INC,AIRM6|AIREX
AIRGAS REFRIGERANTS INC,AIRGAS|AIRT2
AIRMATE,
AIRTEC PROD CORP,AIRTECH|RECTSEAL|AIRTEC
AK IND,AK INDS
ALAMO IRON WORKS INC,ALAI|ALAMOIRN
ALAMO PAD CO,ALAMOPAD|ALAP2
ALAMO,ALAMO PIPE
ALBERT STERLING & ASSOC INC,ALBSTERL|STEA
ALL-PRO FASTENERS INC,ALLP|ALLPRO
ALL-SPEC ENCLOSURES,ALLSPEC
ALLEGION (SCHLAGE LOCK CO LLC),SCHLAGE|ALLEGION PLC SCHLAGE
ALLEN CO,ALLEN & ALLEN|ALLC|ALLEN
ALLIANCE MFG REPS INC,ALLI1|ALLIMANF|ALLIANCE MANUFACTURER REPS
ALLIANCE SPORTS GRP,ALLISPRT
ALLIED BRASS INC,ALDBRS
ALLIED CONSTRUCTION SUPPLIES,ALLC7|ALLICONS
ALLOY,ALLOY STAINLESS PRODUCTES|ASP
ALLPROFESSIONAL MFG CO LTD,BIGDOG|BG_ALPF
ALLSTYLE COIL CO LP,ALLSTYLE
ALNO INC,ALNO
ALPHA,ALPHA EQUIPMENT|ALPHA PROCESS
ALTAIR,
ALYS EDWARDS,ALYS_EDW|ALYSEDWARDS|ALYSED
AMARILLO BOLT CO,AMARBOLT|AMBO
AMBA PROD LLC,AMBA
AMBLUE,
AMBRO CONTROLS PTY LTD,AMBRO
AMC IND INC,AMCI|AMCIND
AMCRAFT INC,AMCR|AMCRAFT
AMERICAN AIR COMPONENTS LLC,AMERICAN
AMERICAN BRASS & ALUMINUM,AMEB|AMERBRAS
AMERICAN DE ROSA LAMPARTS LLC (LUMINANCE),SUNSET|LUMI
AMERICAN ELITE MOLDING LLC,AMEM
AMERICAN FAUCET & COATINGS,SIGMA|AMEF6|AMERFCT
AMERICAN FIXTURE AND DISPLAY,AMDISP
AMERICAN FLOW CONTROL,AMEF3|AMERFLOW
AMERICAN GAS SAFETY LLC,CUNH|HUGHCUNH
AMERICAN GRANBY INC,AMGRANBY|GRANBY
AMERICAN LEAD FABRICATORS,METEVA|LEAP
AMERICAN LIGHTING,AMERLT|AMEL1
AMERICAN METAL PROD INC,AMERMTL|AMER_MET|AMERIVENT
AMERICAN MFG CO INC,AMEM5|AMCO
AMERICAN PRESTO,
AMERICAN SHEET METAL CO,AMESHT
AMERICAN SPECIALTIES INC,ASI|ASI INC
AMERICAN STANDARD INC,AMERICAN STD|AMERICAN STANDARD CADET 3|AMERSTD|AMER STD|NON LUXURY|AM STD|AS_BRASS|AMERICAN STANDARD|A/S|AMSTD|AMSD|AMERICANSTD
AMERICAN VALVE INC,AMEV|AMERVLV
AMERICAN VULKAN CORP,AMEV2|AMERVULK
AMERICH CORP,AMERICH
AMERISINK INC,
AMEROCK CORP,AMEROCK
AMES CO,WATTS_RG|AMES FIRE AND WATERWORKS|AMES|AMES FIRE & WATERWORKS
AMES TRUETEMPER,
AMETEK,AMET|AMETEK
AMIFAST CORP,AMIFAST|AMIC
AMTROL INC,AMTROL|AMTRL|THERM-X-TROL
ANACO,ANACO
ANN SACKS TILE AND STONE,ANNSACKS
ANNAPOLIS,
ANVIL INTL,ANVHGR|ANVIL|ANVIL INTL LP
APEX TOOL GRP,APEXTOOL|APEX SUPPLY
APG,AMERICAN PACKING & GASKET
API INTL INC,APII|APIINT
APOLLO AMERICA INC,AIRP
APOLLO VALVES,
APPION INC,APPION|APPI1
APPLIED CONTROL EQUIPMENT,KEYSTONE
APRILAIRE,APRILAIR
APSCO,ABILENE PLUMBING SUPPLY
AQUA PURE,AQUAPURE
AQUABOOST,
AQUABRASS INTL CORP,AQUABRAS|AQUABRASS
AQUAFLO,AQUA-FLO
AQUALINE,
AQUARIUS BATHWARE,
