PART,ABBRS
ADAPTER,ADP|ADPTR|ADPT|ADAPT|ADTR
ADHESIVE,ADHES|ADH
AIR CONDITIONER,AC|AIR CON|AIR CONDITIONING|COND-AC|A/C|CONDENSER|CONDENSING|STRAIGHT COOL|STRAIGHT COOL CONDENSER
AIR RELEASE VALVE,ARV
ASSEMBLY,ASSY|ASM|ASY
BACKFLOW,B-FLOW
BACKFLOW PREVENTER,BACKFLOW PREVENTION
BALL VALVE,BLVLV
BALL,BAL
BATH SHOWER,BATH/SHOWER|BTH SHWR|BTHSHWR|TUBSHWR|TUBSHR|TUBSHOW|TUB AND SHOWER|TUB/SHOWER
BATH WASTE FILTER,BWF
BATH,BATHTUB|TUB|BTH|BATH TUB
BATHROOM,BTHRM
BATTERY,BTRY|BATT
BLADE,BLD
BLOWER,BLR
BODY,BDY
BOLT,BLT
BOWL,BWL|BOW
BRACKET,BRKT
BRASS,BRS|BR
BREAKER,BRKR|BKR
BUSHING,BUSH|BSHG
BURNER WITH GRIDDLE,BRNR W/GRDL
BUTTERFLY VALVE,BFV
BUTTERFLY,BFLY
BUTTON,BTN
CARBON,CRBN
CARTRIDGE,CRTG
CAST IRON,CI
CEILING,CEIL
CEMENT,CEMNT
CEMENT,CMNT
CHECK,CHK
CHROME PLATED,CP
CIRCUIT,CKT|CIR|CCT
CIRCULATING,CIRC
CLAMP TEE,CLMPT
CLAMP,CLMP
CLASSIC STAINLESS,CSL
CLEANED AND BAGGED,C&B
CLEANER,CLNR
CLEANOUT,C/O|CLEAN-OUT|CO|CLNOUT
CLEAR,CLR
COMBINATION,COMBO
COMPLETE,CMPLT
COMPOSITE,COMP
COMPRESSOR,CMPSR|COMP
CONCENTRIC,CONC
CONDENSATE,CNDS
CONNECTOR,CONN|CNCT
CONTROL VALVE,CV
CONTROL,CNTRL
CONVERSION,CNVR|CONV
CONVERTER,CNVRTR
COOLER,AIR COOLER
COPOLYMER,NDS|HDPE
COPPER BY COPPER,CXC
COPPER FITTING,COPFTG
COPPER TUBE,COPPTUBE|COPTUBE
COPPER,COP
CORRUGATED,CORR
COUNTER DEPTH,CF
COUNTERTOP,CNTRTOP
COUPLING,CPLG|COUP|CPL|COUPLING FITTING
COVER RING,CVR|RNG|SNR
COVER,CVR
CROSS,CRS
DAMPER,DMPR
DEGREE,DEG
DISHWASHER,D/W
DISPOSER,DISP|DISPOSAL|GARBAGE DISPOSER|GARBAGE DISPOSAL|FOOD DISPOSER|FOOD DISPOSAL|KITCHEN SINK DISPOSAL|KITCHEN DRAIN WASTE DISPOSAL|DRAIN CLEANER GARBAGE DISPOSAL|SINK DISPOSAL|WASTE DISPOSER|FOOD WASTE DISPOSER|FOOD WASTE DISPOSAL
DISTRIBUTION,DIST
DISTRIBUTOR,DISTR
DIVERTER,DIV|DVTR
DRINKING FOUNTAIN,WATER FOUNTAIN
DOUBLE,DBL
DRAIN WASTE VENT,DWV
DRAIN,DRN
DRAIN SNAKE,SNAKE
DRIVER,DRVR
DROP EAR,DE
DROP,DRP
DUCT,DUCTING
ELBOW,ELL|ELB
ESCUTCHEON,ESC|ESCUT
EVAPORATIVE COOLER,EVAPORATOR COOLER
EVAPORATIVE,EVAP
EXPANSION,EXP|EXPNSN
EXTENSION,EXT|EXTN
FAUCET,FCT
FEMALE IRON PIPE,FIP
FEMALE,FEM
FIBERGLASS,FIBERGLS
FILLER,FILLR
FILTER,FLTR
FITTING,FTG|FTTG
FITTINGS,FTGS|FTTGS
FLANGE,FLG|FLNG
FLANGED,FLGD
FLAT,FLT
FLEXIBLE,FLEX
FLOOR,FLR
FLUOROELASTOMER,FKM
FLUSH,FLSH|FLS
FLUSH VALVE,FV
FLUSHOMETER,FLSHMTR|FLUSHMTR|TOILET FLUSHOMETER|CLOSET FLUSHOMETER|WATER CLOSET FLUSHOMETER
FOAM CORE / CELL CORE,PVC FC
FOAM CORE,FC
FORGED STEEL DOMESTIC,DOM FS
FORGED STEEL,FG|FS|FS
FOUNTAIN,FTN
FURNACE,FURN
FUSION,FUS
GALVANIZED,GAL|GALV|GLV
