TYPE,SYNONYMS
A19 INCANDESCENT,
AA ALKALINE,
ABRASIVE,
AC,AC OPERATED|AC POWERED
ACOUSTIC,
ACRYLIC LACQUER,
ACRYLIC LATEX PLUS SILICONE,
ACRYLIC LATEX,
ACRYLIC MODIFIED ALKYD,
ADA,
ADD-ON,
ADJUSTABLE ANGLE,
ADJUSTABLE BAND,
ADJUSTABLE HEAD,
ADJUSTABLE ROOF,
ADJUSTABLE TENSION,
ADJUSTABLE YOKE,
ADJUSTABLE,
AIR ACTIVATED,AIR-ACTIVATED
AIR INDUCTION,
AIRTITE,
ALCOVE,
ALCOVE/ISLAND,
ALKALINE,
ALL PURPOSE,ALL-PURPOSE
ALL WEATHER,
ALLIGATOR,
ANGLE BALL,
ANGLE,
ANGLED PIGTAIL,
ANGLED,
ANGULAR MODERN,
ANODELESS,
ANTI SIPHON,ANTI-SIPHON
ANTI VIBRATION,ANTI-VIBRATION
ANTI-FOG,ANTI FOG
APEX GEL FILLED,
APEX NON-MARRING,
AQUA SEAL,
AQUATIC,
ARROW HEAD,
ASPHALT FILLER,
ASSEMBLED,
ASTM A1011,
ASTM A536,
ASTM A569/A123/A153,
ASTM A569/A525/A526,
ASTM A653,
ASTM C1427,
ASTM C564,
ASTM F1498,
ASTM F1807,
ASTM F2324,
ASTM F409,
ASTM F877,
ATMOSPHERIC,
AUTO ROTATE,
AUTO-IMMEDIATE SHUT-OFF,
AUTO-TIMED SHUT-OFF,
AUTOMATIC RESEATING,
AUTOMATIC,
AUTOMOTIVE,
AVIATION,
BACK,
BACKSIPHONAGE,
BAD TASTE,
BAGGED,BAG
BALANCED,
BALL CATCH,
BALL CHECK,
BANDED,
BARREL,
BARRIER FREE,
BATTERY POWERED,
BEEHIVE,
BELL DESIGN,
BELLED END,
BELLOW,
BEND ARM,
BENDABLE,
BETTER LOW WATT DENSITY,
BEVELED,
BI-LEVEL,
BI-METALLIC,
BLIND,
BLOW MOLDED,
BLOWOUT FLUSH ACTION,
BLUE LIQUID,
BLUE ORGANIC SPIRIT,
BOLTED,
BORING,
BOTTOM OUTLET,
BOTTOM,
BOX MOUNT,BOX-MOUNT|FOOT-MOUNT|PLUG-IN
BR LOADCENTER,
BRACKET MOUNT,
BRAIDED,
BREAKING,
BREATHABLE,
BUCKET,
BUGLE HEAD,
BUGLE PHILLIPS,
BUILT-IN,
BUILT-IN/FREESTANDING,
BULK PACK,
BULK,
BULLHEAD,
BUMPER,
BUTT,
BUTTERFLY,
BYPASS,
C12200,
C36000,
C69300,
C84400,
C89833,
CALIBRATED,
CANNED,
CAO,
CARBONATED BEVERAGE,
CARDED,
CASED,
CAST IRON TO PLASTIC,
CAST IRON/PLASTIC TO TUBULAR/COPPER/PLASTIC,
CEILING MOUNT,
CEILING,
CEILING/SIDEWALL,
CELLULAR,
CENTER OUTLET,
CENTER,
CENTERSET,
CENTRAL SCREW,
CENTRIFUGAL,
CHLORINE TASTE AND ODOR,CHLORINE TASTE
CIRCULAR,
CIRCULATING,RECIRCULATING
CLASS 1,
CLASS 2,
CLASS RK 5,CLASS RK5
CLAY TO ASBESTOS CEMENT/DUCTILE IRON,
CLEVIS,
CLOSE COUPLED,
CLOSE ROUGH,
CLOSE,
CLOSED CELL,
CLOSED FRONT,
CLOSET DEPTH,
CMP/CL2P/FT6,
COFFEE PRESS,
COLD (RIGHT HAND),
COLD EXPANSION,
COLD WEATHER ACRYLIC ADHESIVE,
COLD,
COLLAPSIBLE,
COMBINATION PAIL,
COMBINATION SLOTTED/PHILLIPS,
COMBINATION,
COMMERCIAL GAS,
COMMERCIAL,
COMPACT,
COMPANION,
COMPOUND,
COMPRESSED SPIRAL,
COMPRESSED,
COMPRESSION-WRAPPED INNER CORE,
COMPRESSION MOLDED,
CONCEALED MOUNT,
CONCEALED,
CONCEALED/DECK MOUNT,
CONCENTRIC,
CONDENSATE PAN,
CONDENSATE TRAP,
CONICAL,
CONSTANT DIFFERENTIAL CONTROL,
CONTEMPORARY ROUND,
CONTEMPORARY,
CONTINUOUS FEED,
CONTINUOUS PRESSURE,
CONTROL,
CONVECTION,
CONVENTIONAL PORT,
CONVERSION,
CONVERTIBLE,
CORDED,
CORDLESS,
CORED,
CORNER FACE,
CORNER,
COUNTER CLOCKWISE CLOSE,
COUNTER REFILL,
COUNTER TOP,
COUNTERSUNK,
CRIMPED,CRIMP
CROSS HANDLE,
CROSS,
CRUMB CUP,
CRYSTAL,
CUP SHAPE,
CURVED,
CUSTOM INSERT,
CUT RESISTANCE,
DEBURRING,
DECK MOUNT,DECK MOUNTED
DECK,
DECK/FLOOR/WALL MOUNT,
DECK/LEDGE MOUNT,
DECORATIVE,
DEEP CUT,
DEEP OUTLET,
DEEP PATTERN,
DEEP,
DEFINITE PURPOSE,
DEMOUNT,
DESIGNER,
DETECTABLE,
DIAL,
DIAPHRAGM,
DIELECTRIC,
DIFFERENTIAL,
DIGITAL PROGRAMMABLE THERMOSTAT,
DIGITAL PROGRAMMABLE/NON-PROGRAMMABLE THERMOSTAT,
DIGITAL,
DIMMABLE,
DIRECT CONNECT,
DIRECT OPERATED,
DIRECT UNIVERSAL HOT SURFACE,
DIRECT,
DISPOSABLE,
DOME BOTTOM,
DOME HEAD,
DOMED,
DOMESTIC,
DOUBLE CHECK,
DOUBLE DISC,
DOUBLE DUTY,
DOUBLE END,
DOUBLE EQUAL BOWL,
DOUBLE EQUAL,
DOUBLE FLANGED,
DOUBLE INFRARED,
DOUBLE LEDGE BACK,
DOUBLE LOCKING,
DOUBLE NEOPRENE DEFLECTION MOUNT,
DOUBLE OUTLET,
DOUBLE POST,
DOUBLE SPUR,
DOUBLE STEM DOUBLE SPIRAL,
DOUBLE STEM,
DOUBLE STRAP,
DOUBLE THREADED,
DOUBLE UNION,
DOUBLE WALL,
DOUBLE WELD,
DOUBLE,
DOWNDRAFT,
DOWNSPOUT,
DP,
DRAFT HOOD,
DRAIN WASTE VENT,
DRILLING,
DROP EAR,
DROP HEAD,
DROP-IN MOUNT,
DROP-IN,
DRY WIPE,
DRYLOCK,
DRYWALL,
DUCT MOUNT,DUCT MOUNTED
DUCT-FREE,
DUPLEX,
DURABLE,
EAVE,
ECCENTRIC,
ECONOMY,
EFFLUENT,
ELASTIC WRIST AND ANKLE,
ELASTIC,
ELECTRIC,
ELECTRIC/GAS,
ELECTROCHEMICAL CARBON MONOXIDE,
ELECTROCHEMICAL,
ELECTRONIC,
ELECTROSTATIC,
ELONGATED BOWL,
ELONGATED FRONT BOWL,
ELONGATED FRONT RIM,
ELONGATED FRONT,
ELONGATED OPEN FRONT,
ELONGATED,
ENAMEL,
ENCAPSULATED,
ENCLOSURE,
END ANGLE,
END OUTLET,
END,
ENTRANCE,
EPOXY RESIN,
EPOXY,
EXPANDABLE,
EXPANSION,
EXPOSED,
EXTENDED NECK,
EXTENDED,
EXTENSION,
EXTERNAL,
EXTRA HEAVY DUTY,
EXTRA HEAVY,
EXTRA LONG,
F1960,
FACE,
FACTOR,
FAST ACTING,
FEED SCREW,
FEMALE THREADED,
FEMALE,
FEMALE/MALE,
FERRULE,
FIELD MOUNT,
FILTER ACCESS,
FILTER BASE,
FILTER HOUSING,
FINGERLESS,
FINIAL,
FINISHED,
FIRE STOPPING,
FIRESTOP,
FIXED ARC,
FIXED,
FIXTURE WALL,
FLAIR,
FLAMMABLE VAPOR,
FLANGE FACE,
FLANGE MOUNT,
FLANGED,
FLARED,FLARE
FLAT FACE,
FLAT GRID,
FLAT HEAD,
FLAT ROOF,
FLAT ROUND,
FLAT SASH,
FLAT,
FLEXIBLE,FLEX
FLEXICORE,
FLIP LEVER,
FLOAT,
FLOOR MOUNT,FLOOR MOUNTED
FLOOR,
FLUE SWITCH,
FLUSH CUT,
FLUSH MOUNT,
FLUSH TO FRAME,
FLUSH WITH WALL,
FLUSH,
FLUSH-FIT,
FOAM,FOAM CORE|CELL CORE
FOLD DOWN,
FOLDED CORNER,
FOLDING,
FOOT ACTION,
FOOT ACTUATED,
FOOT MOUNT,
FOOT,
FORCE,
FORWARD TURNED STEP,
FOUR HOLE,
FRAMELESS,
FREE FLO,
FREESTANDING,FREE STANDING
FREEZE START,
FREEZELESS,
FRENCH CURVE,
FRONT MOUNT,FRONT MOUNTED
FRONT,
FROST-PROOF,
FULL BORE,
FULL CIRCLE,
FULL FACE,
FULL FLOW,
FULL PORT,
FULL THREADED,
FULL VOLTAGE,
FULL,
FULL-FLOW,
FULLY ADJUSTABLE,
FULLY AUTOMATIC,
FULLY EXPOSED,
FUSE LINK,
GAFFER,
GARBAGE,
GARDEN,
GAS APPLIANCE,
GAS RANGE,
GAS,
GEL,
GENERAL PURPOSE,
GLASS BULB,
GLOBE,
GLUE ON,
GLUE,
GOOSENECK,
GRAB-ALL,
GRAIN BONDED,
GRANULAR SOLID,
GRAVITY WALL,
GRAVITY,GRVTY
GRID,
GROOVED END,
GROOVED,GROOVE
GROUND-FAULT,
H-BLOCK MINI SUPPORT,
H-D,
HALF,
HALLOW CORE,
HAND,HAND-HELD|HAND HELD
HARD,
HANDLE STOP,
HANDWHEEL,
HARDWIRED PARALLEL TO LOAD,
HARDWIRED,
HEAD,
HEAT TREATED,
HEAT,
HEAVY DUTY,
HEAVY,
HERMETIC ,
HEX HEAD,
HEX,
HEXAGON,
HIGH CAPACITY,
HIGH DENSITY,
HIGH IMPACT,
HIGH INPUT,
HIGH PERFORMANCE,
HIGH SPLASH BACK,
HIGH STRENGTH,
HIGH TACK,
HIGH VOLUME,
HIGH-LEVERAGE,
HINGE,
HINGED EXTENSION,
HINGED,
HOLLOW BACK,
HOLLOW SHAFT,HALLOW SHAFT
HOOK AND LOOP,
HORIZONTAL SWING,
HORIZONTAL T-PATTERN,
HORIZONTAL,
HORIZONTAL/VERTICAL,
HOT (LEFT HAND),
HOT (RIGHT HAND),
HOT AND COLD,
HOT WATER,
HOT,
HOT/COLD,HOT COLD
HOUSING PACK,
HOUSING,
HYDRO SEAL,
I-BEAM,
IGNORING,
IMMERSION,
IMPACT,
IMPERIAL CONCENTRIC,
IMPERIAL/METRIC,
IMPORT,
